GISJOIN,white_pct,black_pct,hispanic_pct
G0400130109003,13.21,4.93,76.8
G0400130109102,10.49,8.32,74.48
G0400130110501,49.54,3.53,30.75
G0400130110502,48.99,7.28,26.0
G0400130110802,62.91,9.73,19.76
G0400130110901,45.27,5.67,41.03
G0400130116731,74.69,0.98,15.42
G0400130117000,33.68,18.15,34.89
G0400130619700,70.53,2.11,21.02
G0400130619800,56.81,2.57,9.9
G0400130619900,57.84,0.52,9.37
G0400130810000,60.53,4.73,11.39
G0400130810100,78.77,1.43,9.99
G0400130810300,56.17,3.1,16.6
G0400130422623,73.12,4.6,16.92
G0400130422632,64.71,0.3,29.84
G0400130422636,72.31,5.52,15.34
G0400130422637,68.67,2.66,23.65
G0400130812400,68.8,3.92,12.56
G0400130812500,48.84,10.17,25.15
G0400130812600,69.88,10.06,8.55
G0400130812700,51.39,2.1,17.21
G0400130615500,95.61,1.31,2.43
G0400130104402,20.43,14.04,24.42
G0400130104701,58.97,5.12,30.11
G0400130104702,43.9,3.65,45.57
G0400130105003,85.47,2.24,3.45
G0400130112512,22.08,27.08,49.58
G0400130812900,61.61,1.12,15.47
G0400130813000,54.33,6.74,5.18
G0400130813100,53.94,5.85,8.99
G0400130813300,77.44,0.79,7.48
G0400130813400,74.55,2.27,9.8
G0400130813500,68.58,1.69,15.95
G0400130813700,97.5,0.35,1.11
G0400190004117,6.97,3.9,87.24
G0400190002201,16.08,2.01,77.51
G0400130105004,75.89,0.0,8.56
G0400130106002,36.02,11.95,25.74
G0400130106003,35.26,14.17,43.31
G0400130106502,60.98,3.36,27.44
G0400130106701,32.35,19.0,39.11
G0400130106703,68.71,2.28,24.89
G0400130106802,41.53,10.14,43.07
G0400130107601,65.16,9.97,19.07
G0400130107602,64.44,3.97,22.4
G0400130108301,65.38,0.89,18.25
G0400130108501,45.96,1.46,47.58
G0400130112514,17.56,17.44,49.49
G0400130619200,52.0,4.64,29.59
G0400130619300,60.98,5.01,27.5
G0400130619400,52.75,3.99,32.96
G0400130619500,66.83,1.3,23.14
G0400130813900,67.79,3.7,15.63
G0400130814000,80.13,9.6,3.13
G0400130814100,64.02,8.21,12.64
G0400130814400,67.3,4.1,16.31
G0400130814500,64.45,5.51,20.89
G0400130814700,71.63,4.34,12.73
G0400130422620,77.89,0.31,14.61
G0400130422621,68.73,0.67,14.33
G0400130108502,66.25,1.67,23.3
G0400130109001,6.11,16.07,62.95
G0400130109002,13.27,18.48,44.71
G0400130092600,37.11,7.58,53.77
G0400130422649,68.47,4.74,23.25
G0400130422655,78.95,0.3,19.06
G0400130422651,65.31,3.42,13.77
G0400190005400,39.64,2.39,45.86
G0400190980002,0.0,0.0,100.0
G0400190980001,0.0,0.0,0.0
G0400130050611,34.84,6.59,53.7
G0400130105502,30.92,26.05,25.9
G0400130030401,93.66,0.61,1.49
G0400130040529,96.97,0.56,0.53
G0400130061017,54.12,9.08,28.39
G0400130061034,63.93,7.13,17.39
G0400130105501,28.36,13.11,44.99
G0400130217203,74.57,0.92,14.61
G0400130420402,79.77,1.09,9.07
G0400130106702,77.56,4.49,8.43
G0400130040531,89.14,2.9,5.54
G0400150950706,76.62,0.32,15.63
G0400150950703,86.17,0.46,7.41
G0400130810400,62.74,6.86,8.95
G0400130810500,59.3,1.74,18.04
G0400130810600,68.8,3.0,9.08
G0400130810800,49.03,2.59,21.34
G0400130810900,70.15,4.83,17.36
G0400130811000,72.47,0.78,16.38
G0400130811100,54.42,2.78,29.8
G0400130811500,53.91,6.37,14.77
G0400130811600,61.01,8.76,15.63
G0400130811700,66.11,6.69,19.92
G0400130422638,64.36,8.88,21.83
G0400130422640,76.89,2.04,13.23
G0400130814900,64.53,4.87,23.04
G0400130815000,64.3,0.32,27.98
G0400130815100,51.53,4.35,21.65
G0400130815300,65.53,3.14,10.02
G0400130071509,70.18,2.5,9.01
G0400130071506,92.68,3.75,3.28
G0400130071511,67.07,2.18,17.64
G0400130082012,25.28,5.51,62.96
G0400130105601,32.86,1.61,55.69
G0400130105702,32.39,4.71,50.91
G0400130421102,48.63,7.4,37.24
G0400130421801,36.62,1.99,58.0
G0400130421802,43.19,5.83,43.37
G0400130421902,19.31,2.01,76.23
G0400130105800,32.99,0.0,60.59
G0400130105400,58.68,11.89,21.93
G0400130105900,45.38,9.49,34.61
G0400130106100,68.87,5.16,18.82
G0400130106200,74.78,0.95,6.71
G0400130106300,74.39,3.64,19.08
G0400130110002,17.05,0.2,82.21
G0400130110100,6.45,2.83,87.6
G0400130110400,46.4,7.38,37.46
G0400130110600,40.32,3.74,27.25
G0400130110701,32.47,2.06,54.96
G0400130110702,34.11,2.28,59.0
G0400130216820,92.62,0.93,2.93
G0400130071513,76.14,5.21,14.57
G0400130421302,38.55,2.76,49.84
G0400130092309,53.01,2.36,32.23
G0400130092500,41.79,6.41,41.49
G0400130092305,49.46,1.6,42.85
G0400130092307,26.31,12.88,49.89
G0400130092308,43.62,7.96,41.58
G0400130611800,78.98,1.64,13.42
G0400130612600,77.05,0.36,11.47
G0400270011405,0.0,0.0,100.0
G0400270011403,0.0,0.0,98.74
G0400270011503,5.18,0.0,94.64
G0400270011700,78.63,0.0,20.03
G0400270010911,44.88,3.07,47.01
G0400190004323,47.18,1.73,40.91
G0400190004326,43.8,1.27,51.0
G0400190002509,9.81,1.33,85.73
G0400190980400,29.01,10.76,46.37
G0400130523006,57.77,3.43,27.57
G0400130523102,30.85,12.27,46.98
G0400130523103,51.11,10.97,21.52
G0400130422102,28.93,4.3,62.45
G0400130422103,39.36,12.71,29.7
G0400130422104,35.83,12.33,33.39
G0400130422105,24.25,9.25,58.69
G0400130422106,24.68,17.33,44.38
G0400130422107,31.01,10.49,48.27
G0400130422203,50.38,7.14,31.56
