GISJOIN,undergrad_pct
G0400130116900,5.73
G0400130040514,60.39
G0400130040530,22.77
G0400130050701,11.3
G0400230966200,18.69
G0400130050702,12.87
G0400130611500,68.86
G0400130611600,66.59
G0400130611900,37.71
G0400130612000,53.97
G0400030001801,53.11
G0400030000503,48.65
G0400130061024,20.1
G0400130117200,7.08
G0400130420503,35.51
G0400130421304,32.39
G0400130071516,22.03
G0400130071517,26.38
G0400130420107,51.71
G0400130420108,50.2
G0400130612900,65.86
G0400130613200,51.75
G0400130613400,25.59
G0400130061044,27.26
G0400130061045,26.53
G0400130061046,21.1
G0400130061047,35.68
G0400130061402,15.71
G0400130071515,35.34
G0400130071701,28.77
G0400130071702,34.01
G0400130071912,8.54
G0400130071913,26.75
G0400130071914,14.3
G0400130071915,26.97
G0400130082016,25.21
G0400130082019,23.08
G0400130082020,24.94
G0400130082021,19.97
G0400130613500,40.43
G0400130613700,44.86
G0400130420109,57.12
G0400130420111,34.71
G0400130082022,28.72
G0400130082023,27.39
G0400130082024,28.21
G0400130082025,36.15
G0400130082026,28.96
G0400130082027,29.7
G0400130082028,8.86
G0400130082208,6.14
G0400130092401,14.41
G0400130092402,26.13
G0400130092715,6.05
G0400130092716,12.4
G0400130615800,40.66
G0400130615900,58.75
G0400130616000,31.14
G0400130616200,25.06
G0400130420112,23.04
G0400130420114,21.63
G0400130420216,31.73
G0400130420401,11.35
G0400130420504,27.44
G0400130614500,26.24
G0400130614900,54.6
G0400030001802,45.61
G0400210000603,48.62
G0400130082007,11.45
G0400130071911,21.74
G0400130082008,3.21
G0400130082009,8.7
G0400130092713,9.9
G0400130092900,8.21
G0400130104222,31.54
G0400130104223,38.86
G0400130104218,20.88
G0400130104224,43.14
G0400190004510,33.33
G0400190004074,43.24
G0400130104225,26.99
G0400130104227,16.98
G0400130104219,16.85
G0400130104221,20.86
G0400130104801,56.92
G0400050000700,56.68
G0400050001500,59.57
G0400050000100,76.38
G0400050000500,38.17
G0400210000317,38.98
G0400210002200,13.47
G0400210000211,28.53
G0400210001701,21.44
G0400210000319,5.15
G0400210000311,24.11
G0400050000800,33.8
G0400050001700,30.59
G0400250001801,43.86
G0400250001403,14.12
G0400250000608,14.01
G0400250001002,34.73
G0400250000609,8.97
G0400250001402,23.88
G0400250001602,23.61
G0400250001601,17.44
G0400250001703,30.42
G0400250002002,26.78
G0400250001701,29.48
G0400250000604,25.09
G0400250002001,21.38
G0400250002003,13.86
G0400250001401,31.71
G0400250002100,10.66
G0400130116707,59.23
G0400130116708,56.33
G0400130116709,33.03
G0400130116710,68.22
G0400130116711,50.85
G0400130116712,52.49
G0400130109604,3.42
G0400130523104,46.28
G0400130116500,15.97
G0400130421602,10.83
G0400130112401,6.37
G0400130216819,53.53
G0400130109802,4.2
G0400130422215,30.76
G0400130104802,40.98
G0400130104900,63.79
G0400130105102,73.16
G0400130115801,13.09
G0400190004063,59.33
G0400190004065,42.34
G0400190004066,39.36
G0400190004424,23.07
G0400130107102,14.64
G0400130107201,8.82
G0400130107500,63.32
G0400130107700,63.91
G0400130107800,85.99
G0400130111100,58.84
G0400130111201,28.95
G0400130111202,26.34
G0400130116713,41.62
G0400130116714,60.73
G0400130116715,57.06
G0400130116717,38.65
G0400130116718,50.69
G0400130116719,62.28
G0400130116720,55.73
G0400130216809,72.15
G0400130216810,61.21
G0400170940100,15.61
G0400170960600,14.54
G0400170960200,23.52
G0400170960400,14.32
G0400130216822,68.92
G0400190004644,36.51
G0400190004645,22.79
G0400190004646,38.38
G0400130319300,29.77
G0400130319401,44.99
G0400130319402,54.9
G0400130420104,30.41
G0400130420105,46.46
G0400130218100,54.05
G0400130115400,6.88
G0400130040502,27.95
G0400130104202,26.43
G0400070000900,7.03
G0400070940400,8.49
G0400130104207,24.78
G0400130107300,8.92
G0400130109703,19.84
G0400130420901,17.15
G0400130071600,11.95
G0400130216806,66.21
G0400130109200,9.17
G0400130106900,10.7
G0400130104216,27.95
G0400130319907,70.45
G0400130112504,9.38
G0400130421601,10.38
G0400130420902,24.1
G0400130421101,27.73
G0400130105701,19.02
G0400130104000,34.56
G0400130092306,23.01
G0400130071802,14.91
G0400130941200,9.33
G0400210001500,6.35
G0400210001600,19.88
G0400210000400,17.93
G0400150951900,13.51
G0400150952600,13.8
G0400070000302,9.22
G0400030000700,19.14
G0400030001000,48.31
G0400030001200,19.07
G0400030000400,10.86
G0400030000600,24.19
G0400030001900,46.19
G0400030002100,26.41
G0400030001100,14.08
G0400130105103,72.02
G0400130422513,40.97
G0400130104203,20.72
G0400130093101,11.94
G0400130115700,10.58
G0400130420604,47.66
G0400130217002,43.28
G0400130113100,75.56
G0400130107202,4.17
G0400130071801,15.36
G0400150953200,51.04
G0400130092709,12.4
G0400130941300,5.44
G0400130112100,10.15
G0400130105602,17.14
G0400130216829,70.62
G0400130104215,28.24
G0400130082002,14.64
G0400130115802,6.02
G0400130421501,11.11
G0400130522901,36.81
G0400130113201,21.35
G0400130050603,6.92
G0400130111401,21.59
G0400130071510,50.65
G0400130092710,23.84
G0400130103608,44.82
G0400130218200,57.37
G0400130420206,23.35
G0400130421502,21.09
G0400130107101,20.82
G0400130071512,29.1
G0400130104226,18.19
G0400130112302,5.5
G0400130114301,32.91
G0400130216821,51.03
G0400130216901,72.75
G0400130318501,32.16
G0400130320002,7.19
G0400130421400,37.03
G0400130422217,47.31
G0400130422610,33.93
G0400130941000,11.68
G0400230966107,16.55
G0400230966106,22.47
G0400230966109,19.63
G0400190004650,68.66
G0400190004728,68.88
G0400190004729,80.94
G0400030000800,22.12
G0400210941402,14.22
G0400210002107,24.87
G0400210000217,29.41
G0400210001714,15.02
G0400210002005,24.04
G0400210001309,17.26
G0400210001307,41.14
G0400210000804,8.05
G0400210001310,22.69
G0400210000903,0.0
G0400210002004,7.44
G0400210000805,30.53
G0400210000321,8.77
G0400210001712,23.58
G0400210001715,32.64
G0400210941401,15.04
G0400210002106,12.09
G0400210000806,39.93
G0400210000229,14.55
G0400210000325,25.8
G0400210001717,32.84
G0400210000807,6.82
G0400210000216,43.94
G0400210001716,21.65
G0400210000808,28.43
G0400210000324,33.43
G0400210000904,15.58
G0400210000323,7.96
G0400210000223,26.88
G0400210000224,24.93
G0400210000218,31.8
G0400210001308,18.84
G0400210000222,25.59
G0400210000221,27.48
G0400210000320,21.38
G0400210000225,15.35
G0400210000226,22.28
G0400210002105,23.6
G0400210002104,14.31
G0400210000322,33.8
G0400210001713,17.36
G0400210000219,24.96
G0400210000220,24.75
G0400210000228,46.37
G0400210000227,36.89
G0400230966111,23.17
G0400230966110,23.62
G0400230966108,25.1
G0400130104206,16.9
G0400130104212,25.89
G0400130104214,26.03
G0400130104217,21.16
G0400210000309,14.14
G0400210001704,24.99
G0400210001707,24.14
G0400210001706,27.14
G0400150950707,10.57
G0400150952006,7.34
G0400150952801,12.08
G0400150951403,16.92
G0400150953002,7.24
G0400270011505,18.6
G0400270011408,17.79
G0400270011601,3.66
G0400270000910,31.29
G0400270010915,3.19
G0400270010916,0.0
G0400130217600,66.63
G0400130217800,50.61
G0400130217900,67.27
G0400130218000,45.47
G0400130218300,42.12
G0400190002603,9.91
G0400190004642,70.83
G0400190940900,26.21
G0400190000100,67.64
G0400190000200,41.22
G0400210941200,9.47
G0400130116619,38.91
G0400120020602,5.84
G0400120940200,15.26
G0400120940300,6.31
G0400130610400,46.97
G0400090940500,2.06
G0400090961300,17.66
G0400090961700,12.58
G0400090961600,27.27
G0400090961100,21.12
G0400090961500,12.6
G0400090961400,16.72
G0400270011122,6.38
G0400270011120,0.0
G0400270011124,6.76
G0400270011407,16.69
G0400270011123,20.0
G0400270011203,26.11
G0400270011801,21.06
G0400190004726,76.18
G0400190005200,25.34
G0400190004330,32.69
G0400190004324,43.96
G0400190004425,27.41
G0400210001100,18.1
G0400210000201,42.9
G0400210000700,11.16
G0400210001200,20.5
G0400150953100,14.21
G0400130093104,2.18
G0400130103205,33.99
G0400130103206,67.6
G0400130104501,17.66
G0400130104502,31.59
G0400130105002,65.56
G0400270011125,34.52
G0400270011121,35.73
G0400270000909,19.37
G0400270011802,5.49
G0400190004062,49.17
G0400190004114,9.58
G0400190004327,31.4
G0400190004423,13.91
G0400210001900,14.1
G0400210001000,18.71
G0400070000200,20.69
G0400070001200,33.35
G0400070000100,40.89
G0400070000500,18.68
G0400070000800,25.71
G0400070000600,20.2
G0400070000700,5.22
G0400070000400,42.17
G0400070001000,20.95
G0400070001300,9.18
G0400070001100,28.16
G0400070940200,11.81
G0400130107900,71.92
G0400130108000,83.05
G0400130116721,61.66
G0400130116725,50.04
G0400130116727,78.23
G0400270011204,13.42
G0400270011119,59.68
G0400270011118,0.0
G0400270011117,12.69
G0400190004431,47.32
G0400190004641,60.68
G0400130103611,47.87
G0400130103612,31.98
G0400130103614,53.77
G0400070000301,19.77
G0400090961202,22.81
G0400130116621,31.17
