,GISJOIN,pct_subprime,average_income,weight
127,G0100250957902,0.22971285892634205,58.51685393258427,801
128,G0100250958000,0.24258760107816704,47.54177897574124,371
129,G0100270958900,0.13255813953488368,54.01744186046512,860
130,G0100270959000,0.16296296296296292,49.43703703703704,405
131,G0100270959100,0.1752021563342318,50.919137466307276,371
132,G0100270959200,0.16425120772946855,45.99677938808374,621
133,G0100290959500,0.2265060240963855,58.096385542168676,415
134,G0100290959600,0.2141982864137086,58.774785801713584,817
135,G0100290959700,0.2003081664098613,57.875192604006166,649
136,G0100290959800,0.1906976744186046,56.71511627906977,860
137,G0100310010100,0.13564668769716084,51.85804416403786,317
138,G0100310010200,0.16849816849816848,49.37728937728938,273
139,G0100310010300,0.10568181818181813,65.79772727272727,880
140,G0100310010400,0.1538461538461538,52.70040485829959,247
141,G0100310010500,0.10911808669656203,51.56203288490284,669
142,G0100310010600,0.14406779661016944,56.95762711864407,236
143,G0100310010700,0.15804597701149423,63.770114942528735,348
144,G0100310010800,0.09538002980625929,71.27719821162444,671
145,G0100310010900,0.11249999999999999,59.61458333333334,480
146,G0100310011000,0.1175141242937853,70.0406779661017,885
147,G0100310011100,0.09693053311793211,59.004846526655896,619
148,G0100310011201,0.06646410938093424,85.17774401823016,2633
149,G0100310011202,0.07058388765705835,61.95971914264597,2706
150,G0100310011300,0.099866844207723,58.422103861517975,751
151,G0100330020100,0.1823394495412844,48.32454128440367,872
152,G0100330020200,0.15835140997830802,52.14750542299349,461
153,G0100330020300,0.18971061093247585,46.836012861736336,311
154,G0100330020400,0.13281249999999997,63.684895833333336,384
155,G0100330020500,0.16916996047430827,55.83715415019763,1265
156,G0100330020600,0.15496368038740915,53.34866828087167,826
157,G0100330020701,0.12383009359251256,71.7544996400288,1389
158,G0100330020702,0.14679245283018866,60.7588679245283,2650
159,G0100330020801,0.14609053497942381,75.94650205761317,972
160,G0100330020802,0.1855524079320113,52.328611898016995,706
161,G0100330020900,0.1819291819291819,56.523809523809526,1638
162,G0100330021000,0.21345407503234148,60.91849935316947,773
163,G0100350960200,0.24324324324324326,46.891891891891895,37
164,G0100350960300,0.17391304347826084,54.65217391304348,276
165,G0100350960400,0.2785714285714286,40.16428571428571,140
166,G0100350960500,0.17469879518072287,63.43072289156626,332
167,G0100350960600,0.2107101280558789,51.0256111757858,859
168,G0100370961000,0.1402214022140221,43.535055350553506,542
169,G0100370961100,0.12873563218390802,55.250574712643676,435
170,G0100370961200,0.14685314685314682,78.95979020979021,572
171,G0100390961600,0.19379844961240308,56.06201550387597,129
172,G0100390961700,0.19209039548022594,53.17325800376648,531
173,G0100390961800,0.16399082568807333,53.696100917431195,872
174,G0100390961900,0.13333333333333328,78.95476190476191,420
175,G0100390962000,0.15520628683693513,64.68565815324165,1018
176,G0100390962100,0.16740088105726872,67.85903083700441,454
177,G0100390962300,0.15614035087719294,70.65438596491228,570
178,G0100390962400,0.13648648648648648,53.58783783783784,740
179,G0100390962500,0.1547987616099071,48.65325077399381,323
180,G0100390962600,0.18637992831541214,41.58781362007169,279
181,G0100390962700,0.1474358974358974,47.861111111111114,468
182,G0100390962800,0.0769230769230769,42.676923076923075,65
183,G0100390962900,0.15384615384615377,57.59340659340659,91
184,G0100390963000,0.14527503526093086,55.344146685472495,709
185,G0100410963400,0.23272727272727267,49.78545454545455,275
186,G0100410963500,0.28690807799442897,53.23398328690808,359
187,G0100410963600,0.1819923371647509,49.39272030651341,522
188,G0100410963700,0.14285714285714282,59.0,609
189,G0100410963800,0.13535911602209943,48.41160220994475,362
190,G0100410963900,0.09821428571428568,60.125,224
191,G0100430964100,0.21766848816029138,52.93078324225865,1098
192,G0100430964200,0.20631341600901917,54.75704622322435,1774
193,G0100430964300,0.19276094276094272,58.004208754208754,1188
194,G0100430964400,0.2280334728033473,52.45188284518829,956
195,G0100430964500,0.24913093858632673,55.10776361529548,863
196,G0100430964600,0.2070534698521046,61.29692832764505,879
